"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XFDRV8TJ","webpage","","","Trans as intersex: Crossing the line","Scavenger","","","","http://www.thescavenger.net/sex-gender-sexual-diversity/sgd-diversity/369-trans-as-intersex-crossing-the-line-56934.html","People from intersex, sex and/or gender diverse groups need to declare and emphasise our own identities, rather than letting others bully us into fitting into their version of who or what we are, writes Tracie O’Keefe. Intersex, transgender, world professional association for transgender health, wpath, OII australia","","2017-05-23 21:50:27","2017-05-23 21:50:27","2017-05-23 21:50:27","","","","","","","Trans as intersex","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\XXEDSA2N\369-trans-as-intersex-crossing-the-line-56934.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DWECF5E7","webpage","2014","Admin","Intersex, brain differences, and the transgender tipping point","OII Australia - Intersex Australia","","","","https://oii.org.au/27298/intersex-and-brain-differences/","Over a decade ago, intersex and trans activist Raven Kaldera wrote that trans people seeking classification as intersex might be seeking legitimisation, as if a physical cause is necessary to obtain social or familial validation. He said that trans people using brain sex theories to claim intersex status were basing a political stance on unproven...  Read more →","2014-06-05","2017-05-23 21:53:21","2017-05-23 21:53:21","2017-05-23 21:53:21","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\M4DD458W\intersex-and-brain-differences.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BK4S3GAW","videoRecording","","Tracie O'Keefe","What is Intersex by Dr. Tracie O'Keefe DCH, BHSc, ND","","","","","https://www.youtube.com/watch?v=xiTCm6U_SeM","What is Intersex? http://www.healtheducationcentre.com/ http://www.healtheducationcentre.com/... Intersex is where a person or an animal is somewhere in between a male or female. Nobody is exactly male, and nobody is exactly female. People may be predominantly male or predominantly female, and there are many people, maybe 1% of the population, are somewhere in between and this happens for many reasons. It can be genetic; some people may have different genes than the average person. It can also because of physical factors (e.g. damage during pregnancy which hampers the sexual development of the child). These and many more. Visit our site http://www.healtheducationcentre.com/... or give us a call at 02 9571 4333 (Sydney, Australia).","","2017-05-23 21:56:27","2017-05-23 21:56:27","2017-05-23 21:56:27","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","319 seconds","","","","","","","","","","","","","","","","","","","","","","","","",""
"B77DMHPF","webpage","","","Orfeo","","","","","http://asso.orfeo.free.fr/intersexuation/index.html","","","2017-05-28 14:56:54","2017-05-28 14:56:54","2017-05-28 14:56:54","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\4BUXH4FG\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KQ5RKNN5","encyclopediaArticle","2017","","Lesbiennes, gays, bisexuels et transgenres","Wikipédia","","","","https://fr.wikipedia.org/w/index.php?title=Lesbiennes,_gays,_bisexuels_et_transgenres&oldid=137392870","« Lesbiennes, gays, bisexuels et trans » ou « LGBT » est un sigle utilisé pour désigner les personnes non hétérosexuelles et/ou non cisgenres. Ce sigle désignant collectivement les personnes bisexuelles, homosexuelles et transgenres peut également être utilisé dans des expressions qui se rattachent à ses personnes (mouvement LGBT et droits LGBT sont des exemples). Le terme « gay » est souvent abusivement utilisé pour désigner l'ensemble des personnes dites LGBT, bien qu'il ne se réfère qu'à l'une de ses composantes (les hommes homosexuels),. « LGBT » est parfois complété par la lettre I pour inclure les personnes intersexuées, ou A pour asexuel, ou Q pour queer ou en questionnement, ou encore P pour les personnes pansexuelles : LGBTI, LGBTA, LGBTQ ou LGBTP. Les termes « allosexuel », « intersexuel » ou « altersexuel » ont également été utilisés.","2017-05-16","2017-05-28 15:17:44","2017-05-28 15:17:44","2017-05-28 15:17:44","","","","","","","","","","","","","","fr","Creative Commons Attribution-ShareAlike License","","","","Wikipedia","","Page Version ID: 137392870","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\RSNVB56V\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6C5JA53N","webpage","","","Quand l’homosexualité était une maladie","Slate.fr","","","","http://www.slate.fr/story/41351/homosexualite-maladie","Alors que cette année la gay pride a rassemblé plus de 500.000 personnes à Paris, l’homosexualité était encore considérée comme une pathologie psychiatrique il y a moins de 20 ans.","","2017-05-28 16:45:01","2017-05-28 16:45:01","2017-05-28 16:45:01","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\HUIERI77\homosexualite-maladie.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZWRHQ9I","blogPost","","","Qu’appelle-t-on l’excision ?","Excision, parlons-en !","","","","https://www.excisionparlonsen.org/excision/","","","2017-05-28 17:00:33","2017-05-28 17:00:33","2017-05-28 17:00:33","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\3TE377DB\excision.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZHIC625","blogPost","","","Are Intersex People Inherently Queer? | Everyone Is Gay","","","","","http://everyoneisgay.com/are-intersex-people-inherently-queer/","Are Intersex People Inherently Queer?","","2017-05-28 18:38:44","2017-05-28 18:38:44","2017-05-28 18:38:44","","","","","","","Are Intersex People Inherently Queer?","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\2TKF8GKZ\are-intersex-people-inherently-queer.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XT8RXX4","blogPost","","Astorino, Claudia","Adding the ""I,"" Revisited: A Call to Action for LGBT-Only Organizations","","","","","http://fullfrontalactivism.blogspot.com/2014/02/adding-i-revisited-call-to-action-for.html","Since this blog began all the way back in 2009 (has it really been that long?! – and I have the gall to balk that I’m already turning thirty...","","2017-05-28 18:41:29","2017-05-28 18:41:29","2017-05-28 18:41:29","","","","","","","Adding the ""I,"" Revisited","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\HEDXDAVI\adding-i-revisited-call-to-action-for.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GCET7IW3","webpage","","","Déclaration de Montréal sur les droits humains des LGBT - Wikisource","","","","","https://fr.wikisource.org/wiki/D%C3%A9claration_de_Montr%C3%A9al_sur_les_droits_humains_des_LGBT","","","2017-05-28 19:25:45","2017-05-28 19:25:45","2017-05-28 19:25:45","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\VBM5TDVU\Déclaration_de_Montréal_sur_les_droits_humains_des_LGBT.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GN7P5DKH","blogPost","","","Principe 18 – Yogyakartaprinciples.org","","","","","http://www.yogyakartaprinciples.org/principle-18-fr/","","","2017-05-28 19:36:08","2017-05-28 19:36:08","2017-05-28 19:36:08","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\IHMQWCXH\principle-18-fr.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8MNM5B27","webpage","","","Que veut dire le &quot;i&quot; de LGBTi?","","","","","https://fr.answers.yahoo.com/question/index?qid=20120419045502AAjnSy2","J&#39;en viens aux nouvelles !! j&#39;ai quitté ce monde gay parcequ&#39;il y a trop de camionneuses anamorphe!!","","2017-05-28 22:35:36","2017-05-28 22:35:36","2017-05-28 22:35:36","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\EMMXVAF3\index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXFEH7AK","webpage","2016","Carpenter, Morgan","Demographics","OII Australia - Intersex Australia","","","","https://oii.org.au/demographics/","The diversity and demographic characteristics of intersex people are not widely understood. An independent 2015 survey of 272 people born with atypical sex characteristics has provided us with good statistical information for the first time. The survey was led by Dr Tiffany Jones of the University of New England, and it published in February 2016....  Read more →","2016-07-28","2017-05-31 18:02:23","2017-05-31 18:02:23","2017-05-31 18:02:23","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\AMNC7HKK\demographics.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVRQWCT3","webpage","2013","Admin","What is intersex?","OII Australia - Intersex Australia","","","","https://oii.org.au/18106/what-is-intersex/","Intersex people are born with physical sex characteristics that don’t fit medical and social norms for female or male bodies.","2013-08-02","2017-05-31 18:06:26","2017-05-31 18:06:26","2017-05-31 18:06:26","","","","","","","","","","","","","","en","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\2GKQA29P\what-is-intersex.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UQR9QTS","webpage","2016","Carpenter, Morgan","IOC policy: no change for athletes with intersex traits","OII Australia - Intersex Australia","","","","https://oii.org.au/30303/ioc-no-change-athletes-intersex/","In the past few weeks, new IOC policy positions on both gender identity and sex characteristics have been published. The statements have received widespread media coverage, focused mostly on improved (albeit imperfect) access to competition for trans athletes. The IOC “consensus meeting” policy paper is dated November 2015, and it contains two statements, one entitled...  Read more →","2016-02-02","2017-05-31 18:32:09","2017-05-31 18:32:09","2017-05-31 18:32:09","","","","","","","IOC policy","","","","","","","en","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\EMW7GEWS\ioc-no-change-athletes-intersex.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ACMSAIQ5","webpage","","","STILL FIERCE","STILL FIERCE","","","","https://stillfierce.wordpress.com/","Sex &/or Gender Diverse articles, information & resources","","2017-05-31 19:25:44","2017-05-31 19:25:44","2017-05-31 19:25:44","","","","","","","","","","","","","","","","","","","","","","","C:\Users\sosof\AppData\Roaming\Zotero\Zotero\Profiles\4wnveodu.default\zotero\storage\6JMMZEQN\stillfierce.wordpress.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
